"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Image Src","Image Position","Image Alt Text","Variant Price","Variant Compare At Price","Variant Inventory Tracker"
"mercurial-heart-mrc","EN-012 Mercurial Heart (UR)","<p>Mercurial Heart is an ultra rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/UR/EN-012.jpg","1","Mercurial Heart","23.39","25.98","shopify","g","1787AQV0LU","Title","Default Title"
"prototype-shield-mrc","EN-013 Prototype Shield (R)","<p>Prototype Shield is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-013.jpg","1","Prototype Shield","1.13","1.26","shopify","g","T4793KVQF2","Title","Default Title"
"steel-slug-mrc","EN-014 Steel Slug (R)","<p>Steel Slug is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-014.jpg","1","Steel Slug","0.5","0.55","shopify","g","4I25FC0ARR","Title","Default Title"
"worn-diary-mrc","EN-015 Worn Diary (R)","<p>Worn Diary is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-015.jpg","1","Worn Diary","0.89","0.99","shopify","g","AGP8M7O1I1","Title","Default Title"
"blast-shield-mrc","EN-016 Blast Shield (R)","<p>Blast Shield is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-016.jpg","1","Blast Shield","0.87","0.97","shopify","g","84H5LAHLJR","Title","Default Title"
"contraband-revolver-mrc","EN-017 Contraband Revolver (R)","<p>Contraband Revolver is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-017.jpg","1","Contraband Revolver","0.99","1.1","shopify","g","2DIJQ62NOB","Title","Default Title"
"forgelight-blade-mrc","EN-018 Forgelight Blade (R)","<p>Forgelight Blade is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-018.jpg","1","Forgelight Blade","0.91","1.01","shopify","g","FSYRC9A8C1","Title","Default Title"
"impact-hammer-mrc","EN-019 Impact Hammer (R)","<p>Impact Hammer is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-019.jpg","1","Impact Hammer","1.12","1.24","shopify","g","NKCQJDMUIH","Title","Default Title"
"krustallan-longsword-mrc","EN-020 Krustallan Longsword (R)","<p>Krustallan Longsword is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-020.jpg","1","Krustallan Longsword","1.07","1.18","shopify","g","6SQE6KD7GO","Title","Default Title"
"loaded-thoughts-mrc","EN-021 Loaded Thoughts (R)","<p>Loaded Thoughts is a rare card in Grand Archive's Mercurial Heart set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC/R/EN-021.jpg","1","Loaded Thoughts","0.89","0.98","shopify","g","CB33MR0KXJ","Title","Default Title"
